Player,Team,Position,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Tackles per 90,Tackle Success Rate (%),Chances Created,Chances Created per 90,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Big Chances Missed,Clearances per 90,Total Clearances,Expected Goals (xG),Actual Goals,Fouls Committed per 90,Interceptions per 90,Total Interceptions,Penalties Conceded,Clean Sheets,Goals Conceded,Expected Assists (xA),Actual Assists,Expected Goals on Target (xGOT),Goals Conceded per 90,Shots on Target per 90,Shot Accuracy (%),Penalties Won,Fouls Won per 90,Red Cards,Secondary Assists,Shots per 90,Shot Conversion Rate (%),Accurate Passes per 90,Pass Success (%),Penalties,Yellow Cards,Successful Dribbles per 90,Dribble Success Rate (%),Expected Assists per 90,Actual Assists per 90,Expected Goals per 90,Goals per 90,Blocks per 90,Total Blocks,FotMob Rating,Player of the Match Awards,Saves per 90,Total Saves,Country
antonio mirante,AC Milan,P,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
antonio pio iervolino,Salernitana,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antonio sanabria,Torino,A,0.5,1.7,0.6,83.3,15.0,0.6,0.8,66.7,2133.0,35.0,10.0,0.5,11.0,9.5,5.0,1.1,0.3,6.0,,,,0.9,0.0,6.4,,0.7,29.6,,,,,2.3,9.3,20.7,79.7,2.0,2.0,0.6,45.2,0.04,0.0,0.4,0.21,0.0,1.0,6.59,0.0,,,PAR
antonio tikvic,Udinese,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ardian ismajli,Empoli,D,0.0,1.2,0.7,61.5,4.0,0.2,2.5,44.9,2046.0,26.0,,5.2,119.0,0.4,0.0,0.8,1.0,23.0,1.0,,,0.3,0.0,,,,,,,,,0.2,0.0,36.8,84.7,,2.0,,,0.01,0.0,0.02,0.0,0.7,17.0,6.72,0.0,,,ALB
arijon ibrahimovic,Frosinone,C,,,,,8.0,1.5,,,,,1.0,,,0.8,1.0,,,,,,,0.7,1.0,1.0,,,,,,,0.7,,,,,0.0,1.0,,,,,,,,,,,,,GER
arkadiusz milik,Juventus,A,0.3,1.8,0.5,55.6,15.0,1.5,0.8,72.7,902.0,32.0,5.0,0.2,2.0,5.1,4.0,2.2,0.5,5.0,,,,0.7,1.0,2.9,,1.3,35.1,,,1.0,0.7,3.7,10.8,21.4,81.1,0.0,2.0,0.5,50.0,0.07,0.1,0.51,0.4,0.1,1.0,6.45,0.0,,,POL
armand lauriente,Sassuolo,A,0.4,2.3,0.6,64.5,47.0,1.4,0.6,44.7,2926.0,37.0,5.0,0.2,7.0,5.7,5.0,1.0,0.5,15.0,,,,3.9,4.0,7.1,,0.9,35.7,1.0,1.7,,3.9,2.6,6.0,18.3,78.4,0.0,5.0,1.9,53.8,0.12,0.1,0.18,0.15,0.1,4.0,6.95,3.0,,,FRA
armando anastasio,Monza,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armando izzo,Monza,D,0.2,1.6,0.9,63.0,7.0,0.4,4.1,63.9,1653.0,23.0,1.0,2.5,46.0,0.7,0.0,1.7,1.5,27.0,,,,1.3,0.0,0.8,,0.2,60.0,,,,,0.3,0.0,60.8,91.2,,9.0,,,0.07,0.0,0.04,0.0,0.9,16.0,6.75,0.0,,,ITA
arthur,Fiorentina,C,0.5,3.6,1.4,66.7,34.0,1.5,4.1,68.9,1993.0,33.0,,0.4,8.0,1.0,2.0,0.8,0.8,18.0,,,,2.3,3.0,2.0,,0.3,50.0,1.0,2.1,,2.3,0.5,16.7,61.0,92.1,1.0,2.0,0.5,73.3,0.11,0.1,0.05,0.09,0.1,3.0,7.13,1.0,,,BRA
assan ceesay,Lecce,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axel guessand,Udinese,D,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA
bartosz bereszynski,Empoli,D,0.1,1.8,1.3,61.0,8.0,0.4,2.1,45.6,1766.0,24.0,,2.4,47.0,0.1,0.0,1.2,1.1,21.0,,,,0.4,1.0,0.2,,0.1,33.3,,,,0.4,0.2,0.0,28.1,78.7,,3.0,0.7,54.2,0.02,0.1,0.0,0.0,0.5,10.0,6.7,0.0,,,POL
benjamin pavard,Inter,D,0.2,1.4,1.1,61.8,10.0,0.5,3.0,62.2,1677.0,23.0,1.0,2.3,42.0,0.8,0.0,1.2,1.7,32.0,,,,1.8,2.0,1.5,,0.3,33.3,,,,1.8,0.8,0.0,61.8,91.6,,6.0,0.1,66.7,0.1,0.1,0.04,0.0,0.8,15.0,7.3,1.0,,,FRA
benoit costil,Salernitana,P,,,,,1.0,0.1,,,,,,,,,,,,,,1.0,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA
berat djimsiti,Atalanta,D,0.1,2.3,0.8,57.1,7.0,0.2,2.4,51.7,2831.0,37.0,1.0,3.1,98.0,0.9,0.0,0.5,1.8,57.0,1.0,,,0.5,1.0,,,,,,,,0.5,0.4,0.0,45.7,87.8,,4.0,0.0,50.0,0.02,0.0,0.03,0.0,1.0,33.0,6.99,0.0,,,ALB
berkan kutlu,Genoa,C,,,,,5.0,2.3,,,,,,,,0.2,0.0,,,,,,,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,TUR
beto,Udinese,A,,,,,6.0,7.3,,,,,,,,0.1,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,POR
boris radunovic,Cagliari,P,,,,,,,,,,,,,,,,,,,,2.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,SRB
boulaye dia,Salernitana,A,,,,,10.0,0.8,,,,,3.0,,,3.9,4.0,,,,,,,0.5,0.0,4.5,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,SEN
brandon soppy,Torino,D,,,,,1.0,0.5,,,,,,,,0.0,0.0,,,,,,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA
brenner da silva,Udinese,A,,,,,2.0,1.0,,,,,1.0,,,0.4,0.0,,,,,,,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,BRA
brian bayeye,Torino,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruno amione,Verona,D,,,,,1.0,0.2,,,,,,,,0.3,0.0,,,,,,,0.0,0.0,0.5,,,,,,,,,,,,,2.0,,,,,,,,,,,,,ARG
bryan cristante,Roma,C,0.3,2.7,1.1,56.9,30.0,0.8,3.0,55.1,3292.0,37.0,4.0,1.3,49.0,4.0,3.0,2.1,0.7,25.0,1.0,,,3.1,4.0,2.9,,0.2,16.7,,,,3.1,1.5,5.6,48.6,83.1,0.0,8.0,0.5,68.0,0.08,0.1,0.11,0.08,0.2,6.0,7.21,3.0,,,ITA
caleb ekuban,Genoa,A,0.6,1.4,0.3,50.0,16.0,1.3,0.6,63.6,1123.0,29.0,4.0,0.6,7.0,2.9,4.0,1.4,0.1,1.0,,,,0.7,1.0,2.5,,1.0,44.4,1.0,2.2,,0.7,2.2,14.8,11.1,66.7,0.0,,0.8,47.6,0.06,0.1,0.23,0.32,0.2,3.0,6.6,1.0,,,GHA
carlo pinsoglio,Juventus,P,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
carlos alcaraz,Juventus,C,,,,,2.0,0.5,,,,,,,,0.4,0.0,,,,,,,0.4,1.0,0.4,,,,,,,0.4,,,,,,,,,,,,,,,,,,,ARG
