Giocatore,Giornata,Pred_Gol_Pesata
ricardo rodriguez,G6,0.0486
daniele rugani,G6,0.0486
simone bastoni,G6,0.0486
alexis saelemaekers,G6,0.0486
junior sambia,G6,0.0486
antonio sanabria,G6,0.0486
alexis sanchez,G6,0.0486
nicola sansone,G6,0.0486
zanos savva,G6,0.0486
giorgio scalvini,G6,0.0486
eldor shomurodov,G6,0.0486
giovanni simeone,G6,0.0486
jan-carlo simic,G6,0.0486
simy,G6,0.0486
riccardo sottil,G6,0.0486
matias soule,G6,0.0486
isaac success,G6,0.0486
ibrahim sulemana,G6,0.0486
tomas suslov,G6,0.0486
karol swiderski,G6,0.0486
loum tchaouna,G6,0.0486
florian thauvin,G6,0.0486
morten thorsby,G6,0.0486
kristian thorstvedt,G6,0.0486
fikayo tomori,G6,0.0486
el bilal toure,G6,0.0486
chaka traore,G6,0.0486
valentin carboni,G6,0.0486
johan vasquez,G6,0.0486
matias vecino,G6,0.0486
nicolas viola,G6,0.0486
mattia viti,G6,0.0486
vitor oliveira,G6,0.0486
nikola vlasic,G6,0.0486
cristian volpato,G6,0.0486
walace,G6,0.0486
shon weissman,G6,0.0486
kenan yildiz,G6,0.0486
mattia zaccagni,G6,0.0486
gabriele zappa,G6,0.0486
davide zappacosta,G6,0.0486
oier zarraga,G6,0.0486
jordan zemura,G6,0.0486
szymon zurkowski,G6,0.0486
leo ostigard,G6,0.0486
lautaro martinez,G7,0.86
nemanja radonjicc,G7,0.6467
federico chiesa,G7,0.49
mateo retegui,G7,0.4425
rafael leao,G7,0.43
olivier giroud,G7,0.415
victor osimhen,G7,0.38
teun koopmeiners,G7,0.359
dusan vlahovic,G7,0.3567
giacomo bonaventura,G7,0.3073
nikola krstovic,G7,0.3073
andrea colpani,G7,0.2967
cyril ngonge,G7,0.2727
hakan calhanoglu,G7,0.26
denzel dumfries,G7,0.26
luis alberto,G7,0.26
lazar samardzic,G7,0.26
marcus thuram,G7,0.26
duvan zapata,G7,0.2512
ademola lookman,G7,0.2473
romelu lukaku,G7,0.2473
lucas martinez quarta,G7,0.2473
domenico berardi,G7,0.24
andrea pinamonti,G7,0.24
zito luvumbo,G7,0.2177
piotr zielinski,G7,0.2177
gianluca scamacca,G7,0.2133
abdou harroui,G7,0.2
nicolas gonzalez,G7,0.2
christian pulisic,G7,0.2
matteo politano,G7,0.1978
ciro immobile,G7,0.1828
andrea belotti,G7,0.1686
antonio candreva,G7,0.1686
houssem aouar,G7,0.14
giovanni di lorenzo,G7,0.14
boulaye dia,G7,0.14
ondrej duda,G7,0.14
alfred duncan,G7,0.14
lewis ferguson,G7,0.14
theo hernandez,G7,0.14
ilario monterisi,G7,0.14
hamza rafia,G7,0.14
perr schuurs,G7,0.14
mattia bani,G7,0.1378
alessandro buongiorno,G7,0.1378
walid cheddira,G7,0.1378
bryan cristante,G7,0.1378
davide frattesi,G7,0.1378
christian kouame,G7,0.1378
pol lirola,G7,0.1378
gianluca mancini,G7,0.1378
giacomo raspadori,G7,0.1378
renato sanches,G7,0.1378
nedim bajrami,G7,0.1373
tommaso baldanzi,G7,0.1373
albert gudmundsson,G7,0.1373
jonathan ikone,G7,0.1373
khvicha kvaratskhelia,G7,0.1373
ruben loftus-cheek,G7,0.1373
junior messias,G7,0.1373
