Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata,GolUlt3,Score_norm,GolUlt3_norm,Score_Composito,Etichetta
alberto dossena,G38,Cagliari,D,7.719904341717335,0.0356,0.0736,0,0.7719904341717335,0.0,0.4187552170858667,0.0
alessandro di pardo,G38,Cagliari,D,0.2304693177146098,0.0,0.0,0,0.0230469317714609,0.0,0.0115234658857304,0.0
edoardo goldaniga,G38,Cagliari,D,0.1744795964619079,0.0,0.0,0,0.0174479596461907,0.0,0.0087239798230953,0.0
elio capradossi,G38,Cagliari,D,0.261719394692862,0.0,0.0,0,0.0261719394692862,0.0,0.0130859697346431,0.0
gabriele zappa,G38,Cagliari,D,6.522191801664897,0.0219,0.0611,0,0.6522191801664897,0.0,0.3510095900832448,0.0
giorgio altare,G38,Cagliari,D,0.261719394692862,0.0,0.0,0,0.0261719394692862,0.0,0.0130859697346431,0.0
mateusz wieteska,G38,Cagliari,D,6.115944900108951,0.0,0.0,0,0.611594490010895,0.0,0.3057972450054475,0.0
pantelis hatzidiakos,G38,Cagliari,D,0.2317714042553702,0.0,0.0,0,0.023177140425537,0.0,0.0115885702127685,0.0
paulo azzi,G38,Cagliari,D,5.589455014838396,0.0,0.0,0,0.5589455014838396,0.0,0.2794727507419198,0.0
tommaso augello,G38,Cagliari,D,6.746085950384821,0.0219,0.0611,0,0.6746085950384821,0.0,0.362204297519241,0.0
yerry mina,G38,Cagliari,D,0.2291672311738492,0.0475,0.0868,1,0.0229167231173849,0.3333333333333333,0.1184150282253591,0.0
ardian ismajli,G38,Empoli,D,7.281676608357567,0.0,0.0,0,0.7281676608357567,0.0,0.3640838304178783,0.0
bartosz bereszynski,G38,Empoli,D,6.639543214132272,0.0,0.0,0,0.6639543214132272,0.0,0.3319771607066136,0.0
gabriele guarino,G38,Empoli,D,0.4700532412145431,0.0,0.0,0,0.0470053241214543,0.0,0.0235026620607271,0.0
giuseppe pezzella,G38,Empoli,D,4.995789291985225,0.0,0.0,0,0.4995789291985225,0.0,0.2497894645992612,0.0
liberato cacace,G38,Empoli,D,6.343392399849546,0.0,0.0,0,0.6343392399849546,0.0,0.3171696199924773,0.0
