Player,Team,Score,Role
alberto cerri,Empoli,0.2726767777756915,C
emil bohinen,Salernitana,0.261514570498324,C
emanuel vignato,Salernitana,0.2567307673794522,C
samuel vignato,Monza,0.2423793580228368,C
carlos alcaraz,Juventus,0.240784756983213,C
berkan kutlu,Genoa,0.239190155943589,C
medon berisha,Lecce,0.2344063528247172,C
stefano sensi,Inter,0.2296225497058454,C
pedro obiang,Sassuolo,0.2025143320322387,C
tajon buchanan,Inter,0.1977305289133669,C
michel ndary adopo,Atalanta,0.1913521247548712,C
iron gomis,Salernitana,0.173811513319008,C
luca garritano,Frosinone,0.1722169122793841,C
marco mancosu,Cagliari,0.1690277102001363,C
riccardo saponara,Verona,0.1658385081208884,C
luca lipani,Sassuolo,0.1610547050020166,C
filippo ranocchia,Empoli,0.1451086946057773,C
rade krunic,AC Milan,0.1387302904472816,C
renato sanches,Roma,0.1371356894076577,C
davy klaassen,Inter,0.1339464873284098,C
charlys,Verona,0.1195950779717945,C
daniel silva,Verona,0.1068382696548031,C
tommaso pobega,AC Milan,0.1020544665359313,C
alejandro gomez,Monza,0.1020544665359313,C
paul pogba,Juventus,0.0924868602981877,C
nicolas dominguez,Bologna,0.0924868602981877,C
riccardo pagano,Roma,0.0924868602981877,C
simone verdi,Torino,0.0877030571793159,C
ebenezer akinsanmiro,Inter,0.0877030571793159,C
jose machin,Monza,0.0701624457434527,C
elayis tavsan,Verona,0.0605948395057092,C
lorenzo amatucci,Fiorentina,0.0605948395057092,C
kevin leone,Sassuolo,0.0558110363868374,C
joselito,Verona,0.0558110363868374,C
niccolo pisilli,Roma,0.0558110363868374,C
francesco d'alessio,Roma,0.0558110363868374,C
iwo kaczmarski,Empoli,0.0558110363868374,C
lucien agoume,Inter,0.0558110363868374,C
karlo lulic,Frosinone,0.0558110363868374,C
karim zedadka,Napoli,0.0558110363868374,C
liam henderson,Empoli,0.0558110363868374,C
antonio pio iervolino,Salernitana,0.0558110363868374,C
kevin zeroli,AC Milan,0.0558110363868374,C
antonino viola,Lecce,0.0558110363868374,C
andre anderson,Lazio,0.0558110363868374,C
lorenzo ignacchiti,Empoli,0.0558110363868374,C
justin kumi,Sassuolo,0.0558110363868374,C
reda belahyane,Verona,0.0558110363868374,C
leander dendoncker,Napoli,0.0558110363868374,C
luca belardinelli,Empoli,0.0558110363868374,C
orir johann helgason,Lecce,0.0558110363868374,C
niklas pyyhtia,Bologna,0.0558110363868374,C
franco carboni,Monza,0.0558110363868374,C
david pejicic,Udinese,0.0558110363868374,C
quina,Udinese,0.0558110363868374,C
christos papadopoulos,Genoa,0.0558110363868374,C
christos kourfalidis,Cagliari,0.0558110363868374,C
daniel samek,Lecce,0.0558110363868374,C
marcin listkowski,Lecce,0.0558110363868374,C
marco ballarini,Udinese,0.0558110363868374,C
gino infantino,Fiorentina,0.0558110363868374,C
catalin vulturar,Lecce,0.0558110363868374,C
giacomo faticanti,Lecce,0.0558110363868374,C
mamadou coulibaly,Salernitana,0.0558110363868374,C
marko rog,Cagliari,0.0558110363868374,C
giovanni crociata,Empoli,0.0558110363868374,C
