Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata
andrea consigli,G6,Sassuolo,P,4.835737719653049,0.0,0.0
simone scuffet,G6,Cagliari,P,4.832591793627252,0.0,0.0
guillermo ochoa,G6,Salernitana,P,4.0919509235539975,0.0,0.0
juan musso,G6,Atalanta,P,1.6179048132668192,0.0,0.0
mile svilar,G6,Roma,P,1.3482540110556829,0.0,0.0
federico ravaglia,G6,Bologna,P,1.0786032088445463,0.0,0.0
marco silvestri,G6,Udinese,P,1.0786032088445463,0.0,0.0
christos mandas,G6,Lazio,P,1.0786032088445463,0.0,0.0
etrit berisha,G6,Empoli,P,1.0786032088445463,0.0,0.0
boris radunovic,G6,Cagliari,P,0.5393016044222732,0.0,0.0
michele cerofolini,G6,Frosinone,P,0.5393016044222732,0.0,0.0
marco sportiello,G6,AC Milan,P,0.5393016044222732,0.0,0.0
emil audero,G6,Inter,P,0.5393016044222732,0.0,0.0
pierluigi gollini,G6,Napoli,P,0.2696508022111366,0.0,0.0
mattia perin,G6,Juventus,P,0.2696508022111366,0.0,0.0
benoit costil,G6,Salernitana,P,0.2696508022111366,0.0,0.0
lovro stubljar,G6,Empoli,P,0.0,0.0,0.0
luca gemello,G6,Torino,P,0.0,0.0,0.0
luigi sepe,G6,Salernitana,P,0.0,0.0,0.0
francesco rossi,G6,Atalanta,P,0.0,0.0,0.0
samuele perisan,G6,Empoli,P,0.0,0.0,0.0
pietro boer,G6,Roma,P,0.0,0.0,0.0
nicola bagnolini,G6,Bologna,P,0.0,0.0,0.0
michele avella,G6,Frosinone,P,0.0,0.0,0.0
nicola leali,G6,Genoa,P,0.0,0.0,0.0
federico brancolini,G6,Lecce,P,0.0,0.0,0.0
eugenio lamanna,G6,Monza,P,0.0,0.0,0.0
vincenzo fiorillo,G6,Salernitana,P,0.0,0.0,0.0
alessandro sorentino,G6,Monza,P,0.0,0.0,0.0
alessio cragno,G6,Sassuolo,P,0.0,0.0,0.0
alessio furlanetto,G6,Lazio,P,0.0,0.0,0.0
raffaele di gennaro,G6,Inter,P,0.0,0.0,0.0
daniel theiner,G6,Sassuolo,P,0.0,0.0,0.0
pierluigi frattali,G6,Frosinone,P,0.0,0.0,0.0
daniele sommariva,G6,Genoa,P,0.0,0.0,0.0
oliver christensen,G6,Fiorentina,P,0.0,0.0,0.0
noah raveyre,G6,AC Milan,P,0.0,0.0,0.0
daniele padelli,G6,Udinese,P,0.0,0.0,0.0
mattia chiesa,G6,Verona,P,0.0,0.0,0.0
carlo pinsoglio,G6,Juventus,P,0.0,0.0,0.0
mihai popa,G6,Torino,P,0.0,0.0,0.0
nikita contini,G6,Napoli,P,0.0,0.0,0.0
simone perilli,G6,Verona,P,0.0,0.0,0.0
marius adamonis,G6,Lazio,P,0.0,0.0,0.0
