Player,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta,Etichetta_Tattica
liberato cacace,Empoli,D,0.6343392399849546,0.0,0.0,non consigliato,Libero
charalambos lykogiannis,Bologna,D,0.6339405603763447,0.0213,0.0611,non consigliato,Terzino offensivo
marcus holmgren pedersen,Sassuolo,D,0.6129507286303051,0.0,0.0,non consigliato,Libero
pasquale mazzocchi,Napoli,D,0.6125828168443989,0.0,0.0,non consigliato,Libero
mateusz wieteska,Cagliari,D,0.611594490010895,0.0,0.0,non consigliato,Leader difensivo
hans hateboer,Atalanta,D,0.6068035780713746,0.0,0.0,non consigliato,Regista difensivo
alessandro vogliacco,Genoa,D,0.5939004918484693,0.0,0.0,non consigliato,Leader difensivo
filippo terracciano,AC Milan,D,0.5935084064325161,0.0,0.0,non consigliato,Stopper
marco davide faraoni,Verona,D,0.5908289065024308,0.0,0.0,non consigliato,Libero
norbert gyomber,Salernitana,D,0.5880740505347071,0.0,0.0,non consigliato,Regista difensivo
luca pellegrini,Lazio,D,0.5765148508763369,0.0213,0.0611,non consigliato,Stopper
aaron caricol,Genoa,D,0.560883295609056,0.0,0.0,non consigliato,Libero
paulo azzi,Cagliari,D,0.5589455014838396,0.0,0.0,non consigliato,Stopper
festy ebosele,Udinese,D,0.5552815314853554,0.0,0.0,non consigliato,Stopper
jordan zemura,Udinese,D,0.5511032956814196,0.0213,0.0611,non consigliato,Stopper
josh doig,Sassuolo,D,0.5493828332522124,0.0,0.0,non consigliato,Libero
alessandro zanoli,Salernitana,D,0.5317493567321279,0.0,0.0,non consigliato,Libero
kingsley ehizibue,Udinese,D,0.5274571731267932,0.0,0.0,non consigliato,Stopper
emil holm,Atalanta,D,0.5245677212601867,0.0213,0.0611,non consigliato,Stopper
stefano sabelli,Genoa,D,0.5213741826917951,0.0,0.0,non consigliato,Libero
giuseppe pezzella,Empoli,D,0.4995789291985225,0.0,0.0,non consigliato,Libero
yann aurel bisseck,Inter,D,0.1217450915611074,0.0463,0.0736,non consigliato,N.C.
lorenzo de silvestri,Bologna,D,0.0994794117141027,0.0463,0.0736,non consigliato,N.C.
brandon soppy,Torino,D,0.0946616915132888,0.0,0.0,non consigliato,N.C.
alessandro dellavalle,Torino,D,0.0938804395888325,0.0,0.0,non consigliato,N.C.
david zima,Torino,D,0.0938804395888325,0.0,0.0,non consigliato,N.C.
wilfried singo,Torino,D,0.0938804395888325,0.0,0.0,non consigliato,N.C.
brian bayeye,Torino,D,0.0938804395888325,0.0,0.0,non consigliato,N.C.
perr schuurs,Torino,D,0.0914064751613876,0.0213,0.0611,non consigliato,N.C.
koffi djidji,Torino,D,0.0889325107339426,0.0,0.0,non consigliato,N.C.
adama soumaoro,Bologna,D,0.0886720934257905,0.0,0.0,non consigliato,N.C.
mihajlo ilic,Bologna,D,0.0886720934257905,0.0,0.0,non consigliato,N.C.
daniele rugani,Juventus,D,0.0886720934257905,0.0463,0.0736,non consigliato,N.C.
alex sandro,Juventus,D,0.0882814674635624,0.1109,0.0898,sorpresa,N.C.
tommaso corazza,Bologna,D,0.0871095895768779,0.0,0.0,non consigliato,N.C.
saba sazonov,Torino,D,0.0854168770738892,0.0,0.0,non consigliato,N.C.
mattia de sciglio,Juventus,D,0.0834637472627485,0.0,0.0,non consigliato,N.C.
tiago djalo,Juventus,D,0.0834637472627485,0.0,0.0,non consigliato,N.C.
mitchel bakker,Atalanta,D,0.076953314558946,0.0213,0.0611,non consigliato,N.C.
giovanni bonfanti,Atalanta,D,0.0731772635907405,0.0,0.0,non consigliato,N.C.
jose luis palomino,Atalanta,D,0.0730470549366644,0.0,0.0,non consigliato,N.C.
jan-carlo simic,AC Milan,D,0.0686199606980787,0.0213,0.0611,non consigliato,N.C.
giulio donati,Monza,D,0.0686199606980787,0.0,0.0,non consigliato,N.C.
dimitrije kamenovic,Lazio,D,0.0678387087736224,0.0,0.0,non consigliato,N.C.
rick karsdorp,Roma,D,0.0666668308869379,0.0,0.0,non consigliato,N.C.
matteo gabbia,AC Milan,D,0.0665366222328619,0.0463,0.0963,non consigliato,N.C.
pierre kalulu,AC Milan,D,0.0636720318431888,0.0,0.0,non consigliato,N.C.
mattia caldara,AC Milan,D,0.0628907799187325,0.0,0.0,non consigliato,N.C.
valentin antov,Monza,D,0.0626303626105804,0.0,0.0,non consigliato,N.C.
mario sampirisi,Monza,D,0.0626303626105804,0.0,0.0,non consigliato,N.C.
clinton nsiala-makengo,AC Milan,D,0.0626303626105804,0.0,0.0,non consigliato,N.C.
davide bartesaghi,AC Milan,D,0.0626303626105804,0.0,0.0,non consigliato,N.C.
armando anastasio,Monza,D,0.0626303626105804,0.0,0.0,non consigliato,N.C.
davide bettella,Monza,D,0.0626303626105804,0.0,0.0,non consigliato,N.C.
alejandro jimenez,AC Milan,D,0.0619793193402001,0.0,0.0,non consigliato,N.C.
rafael toloi,Atalanta,D,0.0593751462586791,0.0,0.0,non consigliato,N.C.
chris smalling,Roma,D,0.0576824337556904,0.0,0.0,non consigliato,N.C.
lovro golic,Roma,D,0.0574220164475383,0.0,0.0,non consigliato,N.C.
mehmet zeki celik,Roma,D,0.0571615991393862,0.0,0.0,non consigliato,N.C.
angelino,Roma,D,0.0563803472149299,0.0,0.0,non consigliato,N.C.
tyronne ebuehi,Empoli,D,0.0544272174037892,0.0,0.0,non consigliato,N.C.
riccardo marchizza,Frosinone,D,0.0523438789385723,0.0,0.0,non consigliato,N.C.
dean huijsen,Roma,D,0.0520834616304203,0.0463,0.0736,non consigliato,N.C.
ridgeciano haps,Genoa,D,0.0481772020081387,0.0,0.0,non consigliato,N.C.
davide biraschi,Genoa,D,0.0471355327755303,0.0142,0.0611,non consigliato,N.C.
luca marianucci,Empoli,D,0.0470053241214543,0.0,0.0,non consigliato,N.C.
petar stojanovic,Empoli,D,0.0470053241214543,0.0,0.0,non consigliato,N.C.
saba goglichidze,Empoli,D,0.0470053241214543,0.0,0.0,non consigliato,N.C.
antonio tikvic,Udinese,D,0.0470053241214543,0.0,0.0,non consigliato,N.C.
axel guessand,Udinese,D,0.0470053241214543,0.0,0.0,non consigliato,N.C.
james abankwah,Udinese,D,0.0470053241214543,0.0,0.0,non consigliato,N.C.
gabriele guarino,Empoli,D,0.0470053241214543,0.0,0.0,non consigliato,N.C.
enzo ebosse,Udinese,D,0.0470053241214543,0.0,0.0,non consigliato,N.C.
samuel john nwachukwu,Udinese,D,0.0470053241214543,0.0,0.0,non consigliato,N.C.
dodo,Fiorentina,D,0.0449219856562375,0.0,0.0,non consigliato,N.C.
ruben vinagre,Verona,D,0.0442709423858572,0.0,0.0,non consigliato,N.C.
fabien centonze,Verona,D,0.043880316423629,0.0,0.0,non consigliato,N.C.
alan matturro,Genoa,D,0.0419271866124883,0.0,0.0,non consigliato,N.C.
nicolo calabrese,Verona,D,0.0417969779584122,0.0,0.0,non consigliato,N.C.
denis cazzadori,Verona,D,0.0417969779584122,0.0,0.0,non consigliato,N.C.
silvan hefti,Genoa,D,0.0417969779584122,0.0,0.0,non consigliato,N.C.
federico ceccherini,Verona,D,0.0417969779584122,0.0,0.0,non consigliato,N.C.
christian dalle mura,Fiorentina,D,0.0417969779584122,0.0,0.0,non consigliato,N.C.
christian corradi,Verona,D,0.0417969779584122,0.0,0.0,non consigliato,N.C.
djed spence,Genoa,D,0.0407553087258038,0.0,0.0,non consigliato,N.C.
christian kabasele,Udinese,D,0.0397136394931954,0.0213,0.0611,non consigliato,N.C.
giorgio cittadini,Genoa,D,0.0391928048768912,0.0,0.0,non consigliato,N.C.
pietro comuzzo,Fiorentina,D,0.0391928048768912,0.0,0.0,non consigliato,N.C.
bruno amione,Verona,D,0.0372396750657505,0.0,0.0,non consigliato,N.C.
kastriot dermaku,Lecce,D,0.0365886317953702,0.0,0.0,non consigliato,N.C.
mats lemmens,Lecce,D,0.0365886317953702,0.0,0.0,non consigliato,N.C.
zinedin smajlovic,Lecce,D,0.0365886317953702,0.0,0.0,non consigliato,N.C.
lautaro gianetti,Udinese,D,0.036067797179066,0.0213,0.0611,non consigliato,N.C.
ahmed touba,Lecce,D,0.0339844587138492,0.0,0.0,non consigliato,N.C.
lorenzo venuti,Lecce,D,0.0332032067893929,0.0,0.0,non consigliato,N.C.
emanuele valeri,Frosinone,D,0.0330729981353168,0.0,0.0,non consigliato,N.C.
kevin bonifazi,Frosinone,D,0.0316407029404803,0.0,0.0,non consigliato,N.C.
sergio kalaj,Frosinone,D,0.0313802856323282,0.0,0.0,non consigliato,N.C.
przemyslaw szyminski,Frosinone,D,0.0313802856323282,0.0,0.0,non consigliato,N.C.
anthony oyono,Frosinone,D,0.028385486588579,0.0,0.0,non consigliato,N.C.
mateus lusuardi,Frosinone,D,0.0263021481233622,0.0,0.0,non consigliato,N.C.
elio capradossi,Cagliari,D,0.0261719394692862,0.0,0.0,non consigliato,N.C.
giorgio altare,Cagliari,D,0.0261719394692862,0.0,0.0,non consigliato,N.C.
natan,Napoli,D,0.0261719394692861,0.0,0.0,non consigliato,N.C.
adam obert,Cagliari,D,0.0253906875448298,0.0,0.0,non consigliato,N.C.
pantelis hatzidiakos,Cagliari,D,0.023177140425537,0.0,0.0,non consigliato,N.C.
alessandro di pardo,Cagliari,D,0.0230469317714609,0.0,0.0,non consigliato,N.C.
yerry mina,Cagliari,D,0.0229167231173849,0.0463,0.0963,non consigliato,N.C.
matias vina,Sassuolo,D,0.0201823413817878,0.0,0.0,non consigliato,N.C.
gerardo fusco,Salernitana,D,0.0188802548410273,0.0,0.0,non consigliato,N.C.
edoardo goldaniga,Cagliari,D,0.0174479596461907,0.0,0.0,non consigliato,N.C.
filippo missori,Sassuolo,D,0.0171875423380386,0.0,0.0,non consigliato,N.C.
kevin miranda,Sassuolo,D,0.0157552471432021,0.0,0.0,non consigliato,N.C.
mattia viti,Sassuolo,D,0.0134114913698332,0.1109,0.0898,non consigliato,N.C.
jerome boateng,Salernitana,D,0.0111979442505403,0.0,0.0,non consigliato,N.C.
konstantinos manolas,Salernitana,D,0.0109375269423882,0.0,0.0,non consigliato,N.C.
dylan bronn,Salernitana,D,0.0105469009801601,0.0,0.0,non consigliato,N.C.
emanuele elia,Salernitana,D,0.0105469009801601,0.0,0.0,non consigliato,N.C.
marash kumbulla,Sassuolo,D,0.0105469009801601,0.0,0.0,non consigliato,N.C.
flavius daniliuc,Salernitana,D,0.0066406413578785,0.0,0.0,non consigliato,N.C.
marco pellegrino,Salernitana,D,0.0055989721252701,0.0,0.0,non consigliato,N.C.
triantafyllos pasalidis,Salernitana,D,0.0035156336600533,0.0,0.0,non consigliato,N.C.
niccolo pierozzi,Salernitana,D,0.0006510432703802,0.0213,0.0903,non consigliato,N.C.
federico fazio,Salernitana,D,0.0,0.0213,0.0611,non consigliato,N.C.
hakan calhanoglu,Inter,C,1.0,0.3184,0.2278,consigliato,Trequartista
teun koopmeiners,Atalanta,C,0.8678701709568648,0.3538,0.2213,consigliato,Trequartista
luis alberto,Lazio,C,0.8240300382518294,0.1229,0.1111,consigliato,Trequartista
antonio candreva,Salernitana,C,0.7790139201923737,0.1334,0.1236,consigliato,Trequartista
matteo pessina,Monza,C,0.7662182403895132,0.1603,0.155,consigliato,Centrale equilibrato
andrea colpani,Monza,C,0.761769439252209,0.2303,0.1611,consigliato,Trequartista
arthur,Fiorentina,C,0.7412418368645464,0.1758,0.264,consigliato,Centrale equilibrato
lazar samardzic,Udinese,C,0.7407761092758207,0.1603,0.2023,consigliato,Trequartista
tijjani reijnders,AC Milan,C,0.7374313759986805,0.0749,0.1153,consigliato,Trequartista
mario pasalic,Atalanta,C,0.7367436611029462,0.2377,0.2275,consigliato,Trequartista
giacomo bonaventura,Fiorentina,C,0.7352489920977727,0.2637,0.1773,consigliato,Trequartista
nicolo barella,Inter,C,0.730139511463939,0.0463,0.0736,non consigliato,Trequartista
ivan ilic,Torino,C,0.726598725773892,0.0749,0.1003,consigliato,Trequartista
henrikh mkhitaryan,Inter,C,0.713269955127861,0.0338,0.0736,non consigliato,Trequartista
piotr zielinski,Napoli,C,0.7109329410033326,0.0749,0.0861,non consigliato,Trequartista
felipe anderson,Lazio,C,0.7096368092898793,0.1073,0.0986,non consigliato,Trequartista
