Giocatore,Giornata,Prob_Gol
kaio jorge,G6,0.0
daichi kamada,G6,0.1386
hassane kamara,G6,0.0
grigoris kastanos,G6,0.0
michael kayode,G6,0.0
kingstone mutandwa,G6,0.0
sead kolasinac,G6,0.0
teun koopmeiners,G6,0.1386
christian kouame,G6,0.1386
viktor kovalenko,G6,0.0
nikola krstovic,G6,0.3327
khvicha kvaratskhelia,G6,0.0
luca ranieri,G6,0.0
gianluca lapadula,G6,0.0
armand lauriente,G6,0.1109
lautaro martinez,G6,0.2867
darko lazovic,G6,0.0
pol lirola,G6,0.1386
diego llorente,G6,0.0
manuel locatelli,G6,0.0
ruben loftus-cheek,G6,0.0
ademola lookman,G6,0.2637
lorenzo pellegrini,G6,0.0
sandi lovric,G6,0.0
luca pellegrini,G6,0.0
lorenzo lucca,G6,0.0
luis alberto,G6,0.2637
romelu lukaku,G6,0.2637
sebastiano luperto,G6,0.0
zito luvumbo,G6,0.1386
charalambos lykogiannis,G6,0.0
giulio maggiore,G6,0.0
daniel maldini,G6,0.0
ruslan malinovsky,G6,0.0
gianluca mancini,G6,0.1386
rolando mandragora,G6,0.0924
mirko maric,G6,0.0
agustin martegani,G6,0.0
lucas martinez quarta,G6,0.2637
adam marusic,G6,0.0
matheus henrique,G6,0.0
mathias olivera,G6,0.0
luca mazzitelli,G6,0.2197
junior messias,G6,0.0
arkadiusz milik,G6,0.0
yerry mina,G6,0.0
aleksey miranchuk,G6,0.0
fabio miretti,G6,0.0
henrikh mkhitaryan,G6,0.2197
ilario monterisi,G6,0.1386
nikola moro,G6,0.0
luis muriel,G6,0.0
nahitan nandez,G6,0.0
dan ndoye,G6,0.0
cyril ngonge,G6,0.2637
m'baye niang,G6,0.0
nicolas gonzalez,G6,0.1758
tijjani noslin,G6,0.0
m'bala nzola,G6,0.0
jens odgaard,G6,0.0
noah okafor,G6,0.0
gaetano oristanio,G6,0.0
riccardo orsolini,G6,0.0
victor osimhen,G6,0.2218
remi oudin,G6,0.1109
leandro paredes,G6,0.0
mario pasalic,G6,0.1109
patric,G6,0.0
leonardo pavoletti,G6,0.0
martin payero,G6,0.0
pedro rodriguez,G6,0.0
pietro pellegri,G6,0.0
roberto pereyra,G6,0.0
nehuen perez,G6,0.0
matteo pessina,G6,0.0
andrea petagna,G6,0.0
roberto piccoli,G6,0.0
niccolo pierozzi,G6,0.0
andrea pinamonti,G6,0.3863
matteo politano,G6,0.2637
stefan posch,G6,0.0
matteo prati,G6,0.0
christian pulisic,G6,0.1758
rasmus kristensen,G6,0.0
adrien rabiot,G6,0.0924
uros racic,G6,0.0
nemanja radonjicc,G6,0.3327
rafael leao,G6,0.4436
hamza rafia,G6,0.1386
ylber ramadani,G6,0.0
giacomo raspadori,G6,0.1386
tijjani reijnders,G6,0.0
reinier,G6,0.0
renato sanches,G6,0.1386
mateo retegui,G6,0.3516
samuele ricci,G6,0.0
ricardo rodriguez,G6,0.0
simone romagnoli,G6,0.1109
daniele rugani,G6,0.0
simone bastoni,G6,0.0
alexis saelemaekers,G6,0.0
lazar samardzic,G6,0.1386
junior sambia,G6,0.0
antonio sanabria,G6,0.0
alexis sanchez,G6,0.0
nicola sansone,G6,0.0
zanos savva,G6,0.0
giorgio scalvini,G6,0.0
gianluca scamacca,G6,0.2197
perr schuurs,G6,0.1386
eldor shomurodov,G6,0.0
giovanni simeone,G6,0.0
jan-carlo simic,G6,0.0
simy,G6,0.0
riccardo sottil,G6,0.0
matias soule,G6,0.0
leonardo spinazzola,G6,0.1386
gabriel strefezza,G6,0.1386
isaac success,G6,0.0
ibrahim sulemana,G6,0.0
tomas suslov,G6,0.0
karol swiderski,G6,0.0
loum tchaouna,G6,0.0
florian thauvin,G6,0.0
morten thorsby,G6,0.0
kristian thorstvedt,G6,0.0
marcus thuram,G6,0.2637
fikayo tomori,G6,0.0
el bilal toure,G6,0.0
chaka traore,G6,0.0
valentin carboni,G6,0.0
johan vasquez,G6,0.0
matias vecino,G6,0.0
nicolas viola,G6,0.0
mattia viti,G6,0.0
vitor oliveira,G6,0.0
dusan vlahovic,G6,0.3863
nikola vlasic,G6,0.0
cristian volpato,G6,0.0
walace,G6,0.0
shon weissman,G6,0.0
kenan yildiz,G6,0.0
mattia zaccagni,G6,0.0
duvan zapata,G6,0.1758
gabriele zappa,G6,0.0
davide zappacosta,G6,0.0
oier zarraga,G6,0.0
jordan zemura,G6,0.0
piotr zielinski,G6,0.1386
joshua zirkzee,G6,0.1386
nadir zortea,G6,0.0924
szymon zurkowski,G6,0.0
leo ostigard,G6,0.0
federico gatti,G7,0.0
alessandro bastoni,G7,0.0
andrea carboni,G7,0.0
tammy abraham,G7,0.0
francesco acerbi,G7,0.0
yacine adli,G7,0.0
alex sandro,G7,0.0
pontus almqvist,G7,0.0792
amir rrahmani,G7,0.0
houssem aouar,G7,0.1188
marko arnautovic,G7,0.0
arthur,G7,0.0
kristjan asllani,G7,0.0
tommaso augello,G7,0.0
sardar azmoun,G7,0.0
milan badelj,G7,0.0
jaime baez,G7,0.0
nedim bajrami,G7,0.1109
mitchel bakker,G7,0.0
tommaso baldanzi,G7,0.1109
lameck banda,G7,0.0
mattia bani,G7,0.1188
antonin barak,G7,0.0
nicolo barella,G7,0.0
raoul bellanova,G7,0.0
andrea belotti,G7,0.1256
lucas beltran,G7,0.0
ismael bennacer,G7,0.0
domenico berardi,G7,0.3863
sam beukema,G7,0.0
cristiano biraghi,G7,0.0792
davide biraschi,G7,0.0792
yann aurel bisseck,G7,0.0
giacomo bonaventura,G7,0.3327
federico bonazzoli,G7,0.0792
warren bondo,G7,0.0
josip brekalo,G7,0.0
gleison bremer,G7,0.0
marco brescianini,G7,0.0
tajon buchanan,G7,0.0
alessandro buongiorno,G7,0.1188
jovane cabral,G7,0.1188
riccardo calafiori,G7,0.0
luca caldirola,G7,0.0
hakan calhanoglu,G7,0.2197
nicolo cambiaghi,G7,0.0
andrea cambiaso,G7,0.0
matteo cancellieri,G7,0.0
antonio candreva,G7,0.1256
francesco caputo,G7,0.0
valentin castellanos,G7,0.0
santiago castro,G7,0.0
gaetano castrovilli,G7,0.0
danilo cataldi,G7,0.0
leonardo cerri,G7,0.0
walid cheddira,G7,0.1188
federico chiesa,G7,0.3863
samuel chukwueze,G7,0.0
lorenzo colombo,G7,0.0
andrea colpani,G7,0.3697
diego coppola,G7,0.0
bryan cristante,G7,0.1188
marvin cuni,G7,0.0
danilo,G7,0.1188
dany mota,G7,0.0
matteo darmian,G7,0.0
keinan davis,G7,0.0
charles de ketelaere,G7,0.0792
lorenzo de silvestri,G7,0.0
stefan de vrij,G7,0.0
gregoire defrel,G7,0.0
alessandro deiola,G7,0.0
federico di francesco,G7,0.0792
giovanni di lorenzo,G7,0.1188
boulaye dia,G7,0.1188
federico dimarco,G7,0.1188
milan djuric,G7,0.0
patrick dorgu,G7,0.0
alberto dossena,G7,0.0
radu dragusin,G7,0.0
ondrej duda,G7,0.1188
denzel dumfries,G7,0.1758
alfred duncan,G7,0.1188
paulo dybala,G7,0.1883
ederson,G7,0.1188
caleb ekuban,G7,0.0
oussama el azzouzi,G7,0.0
stephan el shaarawy,G7,0.0
eljif elmas,G7,0.0
martin erlic,G7,0.0
giovanni fabbian,G7,0.1188
federico fazio,G7,0.0
jacopo fazzini,G7,0.0
felipe anderson,G7,0.0
lewis ferguson,G7,0.1188
gian marco ferrari,G7,0.0
alessandro florenzi,G7,0.0
michael folorunsho,G7,0.0
davide frattesi,G7,0.1188
morten frendrup,G7,0.0
remo freuler,G7,0.0
