Giocatore,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta
festy ebosele,Udinese,D,0.5552815314853554,0.0,0.0,non consigliato
jordan zemura,Udinese,D,0.5511032956814196,0.0213,0.0611,non consigliato
josh doig,Sassuolo,D,0.5493828332522124,0.0,0.0,non consigliato
alessandro zanoli,Salernitana,D,0.5317493567321279,0.0,0.0,non consigliato
kingsley ehizibue,Udinese,D,0.5274571731267932,0.0,0.0,non consigliato
emil holm,Atalanta,D,0.5245677212601867,0.0213,0.0611,non consigliato
stefano sabelli,Genoa,D,0.5213741826917951,0.0,0.0,non consigliato
giuseppe pezzella,Empoli,D,0.4995789291985225,0.0,0.0,non consigliato
yann aurel bisseck,Inter,D,0.1217450915611074,0.0463,0.0736,non consigliato
lorenzo de silvestri,Bologna,D,0.0994794117141027,0.0463,0.0736,non consigliato
brandon soppy,Torino,D,0.0946616915132888,0.0,0.0,non consigliato
alessandro dellavalle,Torino,D,0.0938804395888325,0.0,0.0,non consigliato
david zima,Torino,D,0.0938804395888325,0.0,0.0,non consigliato
wilfried singo,Torino,D,0.0938804395888325,0.0,0.0,non consigliato
brian bayeye,Torino,D,0.0938804395888325,0.0,0.0,non consigliato
perr schuurs,Torino,D,0.0914064751613876,0.0213,0.0611,non consigliato
koffi djidji,Torino,D,0.0889325107339426,0.0,0.0,non consigliato
adama soumaoro,Bologna,D,0.0886720934257905,0.0,0.0,non consigliato
mihajlo ilic,Bologna,D,0.0886720934257905,0.0,0.0,non consigliato
daniele rugani,Juventus,D,0.0886720934257905,0.0463,0.0736,non consigliato
alex sandro,Juventus,D,0.0882814674635624,0.1109,0.0898,non consigliato
tommaso corazza,Bologna,D,0.0871095895768779,0.0,0.0,non consigliato
saba sazonov,Torino,D,0.0854168770738892,0.0,0.0,non consigliato
mattia de sciglio,Juventus,D,0.0834637472627485,0.0,0.0,non consigliato
tiago djalo,Juventus,D,0.0834637472627485,0.0,0.0,non consigliato
mitchel bakker,Atalanta,D,0.076953314558946,0.0213,0.0611,non consigliato
giovanni bonfanti,Atalanta,D,0.0731772635907405,0.0,0.0,non consigliato
jose luis palomino,Atalanta,D,0.0730470549366644,0.0,0.0,non consigliato
jan-carlo simic,AC Milan,D,0.0686199606980787,0.0213,0.0611,non consigliato
